rank,tier,score,market,code,name,price,min_buy,industry,deepest_layer,roe,gross_margin,net_margin,yoy,cagr,ocf_to_profit,debt_ratio,pe_ttm,peg,eyield,exp_ret,discount,pb,market_cap_yi_usd,fail_reasons
2492,-,27.12,us,SMMT,Summit Therapeutics Inc.  - Common Stock,14.60,1460,Summit Therapeutics Inc.  - Common Stock,1,,,,,,,,-9.40,,,,0.0,20.76,113.3,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
2493,-,27.12,us,SMPL,The Simply Good Foods Company - Common Stock,13.25,1325,The Simply Good Foods Company - Common Stock,1,,,,,,,,-11.34,,,,0.0,0.80,12.0,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
2494,-,27.12,us,SMSI,"Smith Micro Software, Inc. - Common Stock",2.74,274,"Smith Micro Software, Inc. - Common Stock",1,,,,,,,,-0.50,,,,0.0,0.76,0.1,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
2495,-,27.12,us,SMTC,Semtech Corporation - Common Stock,158.26,15826,Semtech Corporation - Common Stock,1,,,,,,,,-444.60,,,,0.0,25.71,147.4,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
2496,-,27.12,us,SMTI,Sanara MedTech Inc. - Common Stock,24.20,2420,Sanara MedTech Inc. - Common Stock,1,,,,,,,,-6.60,,,,0.0,31.55,2.2,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
2497,-,27.12,us,SMTK,"SmartKem, Inc. - Common Stock",0.25,25,"SmartKem, Inc. - Common Stock",1,,,,,,,,-0.19,,,,0.0,0.99,0.1,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
2498,-,27.12,us,SMX,SMX (Security Matters) Public Limited Company - Ordinary Shares,13.40,1340,SMX (Security Matters) Public Limited Company - Ordinary Shares,1,,,,,,,,-0.05,,,,0.0,0.98,0.1,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
2499,-,27.12,us,SMXT,Solarmax Technology Inc. - Common Stock,0.35,34,Solarmax Technology Inc. - Common Stock,1,,,,,,,,-3.69,,,,0.0,-1.73,0.2,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
2500,-,27.12,us,SNAL,"Snail, Inc. - Class A Common Stock",0.62,61,"Snail, Inc. - Class A Common Stock",1,,,,,,,,-1.16,,,,0.0,-1.89,0.3,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
2501,-,30.02,us,SND,"Smart Sand, Inc. - Common Stock",5.28,528,"Smart Sand, Inc. - Common Stock",1,,,,,,,,10.45,,9.57,,0.0,0.97,2.3,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
