rank,tier,score,code,name,price,min_buy,industry,deepest_layer,roe,gross_margin,net_margin,yoy,cagr,deduct_ratio,ocf_to_profit,debt_ratio,goodwill_ratio,pe_ttm,peg,eyield,exp_ret,discount,pb,mktcap_yi,risk_notes,fail_reasons
4845,-,8.5,002124,天邦食品,2.11,211,养殖业,0,-43.4,8.6,-15.1,-189.8,,,,79.8,0.0,-2.19,,,,0.0,2.83,46.9,,亏损; 现金流/利润<0.8; 负债率≥70.0%; ROE<15.0; 毛利<30.0; 净利率<10.0; 同比增速<10.0; CAGR<10.0; PEG≥1.0; 盈利收益率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.7折
4846,-,8.5,002123,梦网科技,7.19,719,通信服务,0,-13.3,11.4,-8.3,-667.5,,,,48.0,0.0,-21.91,,,,0.0,3.81,57.9,,亏损; 现金流/利润<0.8; ROE<15.0; 毛利<30.0; 净利率<10.0; 同比增速<10.0; CAGR<10.0; PEG≥1.0; 盈利收益率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.7折
4847,-,8.5,002114,罗平锌电,7.23,723,工业金属,0,-20.8,1.2,-12.3,-125.8,,,,65.7,0.0,-13.56,,,,0.0,3.24,23.4,,亏损; 现金流/利润<0.8; ROE<15.0; 毛利<30.0; 净利率<10.0; 同比增速<10.0; CAGR<10.0; PEG≥1.0; 盈利收益率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.7折
4848,-,8.5,002109,ST兴化,2.41,241,化学原料,0,-12.4,-6.4,-14.6,-18.8,,,,56.4,0.0,-7.58,,,,0.0,0.78,30.8,,ST/退市; 亏损; 现金流/利润<0.8; ROE<15.0; 毛利<30.0; 净利率<10.0; 同比增速<10.0; CAGR<10.0; PEG≥1.0; 盈利收益率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.7折
4849,-,8.5,002105,信隆健康,4.94,494,摩托车及其他,0,-7.6,12.5,-5.4,-238.6,,,,47.6,0.0,-28.31,,,,0.0,2.27,18.1,,亏损; 现金流/利润<0.8; ROE<15.0; 毛利<30.0; 净利率<10.0; 同比增速<10.0; CAGR<10.0; PEG≥1.0; 盈利收益率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.7折
4850,-,8.5,002084,海鸥住工,3.48,348,家居用品,0,-8.4,13.3,-4.5,4.6,,,,50.4,0.0,-16.71,,,,0.0,1.74,22.5,,亏损; 现金流/利润<0.8; ROE<15.0; 毛利<30.0; 净利率<10.0; 同比增速<10.0; CAGR<10.0; PEG≥1.0; 盈利收益率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.7折
4851,-,8.5,002072,凯瑞德,8.20,819,贸易Ⅱ,0,-55.0,1.1,-4.8,-1142.6,,,,8.9,0.0,-124.98,,,,0.0,13.05,30.1,,亏损; 现金流/利润<0.8; ROE<15.0; 毛利<30.0; 净利率<10.0; 同比增速<10.0; CAGR<10.0; PEG≥1.0; 盈利收益率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.7折
4852,-,8.5,002068,黑猫股份,15.03,1503,橡胶,0,-17.4,1.6,-5.3,-1943.4,,,,67.4,0.0,-21.14,,,,0.0,4.74,110.5,,亏损; 现金流/利润<0.8; ROE<15.0; 毛利<30.0; 净利率<10.0; 同比增速<10.0; CAGR<10.0; PEG≥1.0; 盈利收益率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.7折
4853,-,8.5,002066,瑞泰科技,20.83,2083,装修建材,0,-8.6,12.8,-1.5,-201.3,,,,72.2,0.0,-63.18,,,,0.0,7.86,48.9,,亏损; 现金流/利润<0.8; 负债率≥70.0%; ROE<15.0; 毛利<30.0; 净利率<10.0; 同比增速<10.0; CAGR<10.0; PEG≥1.0; 盈利收益率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.7折
4854,-,8.5,002059,云南旅游,4.26,426,旅游及景区,0,-26.2,-5.2,-93.9,-1073.0,,,,63.3,0.0,-13.69,,,,0.0,4.08,43.1,,亏损; 现金流/利润<0.8; ROE<15.0; 毛利<30.0; 净利率<10.0; 同比增速<10.0; CAGR<10.0; PEG≥1.0; 盈利收益率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.7折
