rank,tier,score,code,name,price,min_buy,industry,deepest_layer,roe,gross_margin,net_margin,yoy,cagr,deduct_ratio,ocf_to_profit,debt_ratio,goodwill_ratio,pe_ttm,peg,eyield,exp_ret,discount,pb,mktcap_yi,risk_notes,fail_reasons
618,-,31.67,300562,乐心医疗,13.51,1351,医疗器械,1,8.1,35.6,8.3,33.6,,0.94,1.86,27.9,0.0,32.41,0.96,3.09,36.7,-8.0,2.86,29.5,,ROE<15.0; 净利率<10.0; CAGR<10.0; 盈利收益率≤5.0%; 未打0.7折
619,-,31.66,600814,杭州解百,6.10,610,一般零售,1,6.1,76.5,13.2,-9.3,-1.9,0.97,3.30,43.6,0.0,19.66,,5.09,-4.2,-63.8,1.17,44.8,,ROE<15.0; 同比增速<10.0; CAGR<10.0; PEG≥1.0; 预期年化<10.0%; 未打0.7折
620,-,31.57,002083,孚日股份,10.49,1049,纺织制造,1,9.4,20.9,8.2,23.2,28.2,1.04,1.87,35.5,0.0,20.63,0.89,4.85,28.0,10.9,2.15,99.3,,ROE<15.0; 毛利<30.0; 净利率<10.0; 盈利收益率≤5.0%; 未打0.7折
621,-,31.54,301262,海看股份,17.97,1797,广告营销,1,11.1,55.4,44.2,3.7,0.1,0.87,1.03,14.9,0.0,19.32,229.62,5.18,5.3,-61.0,1.97,74.9,增速或为单年爆发(同比远高于CAGR),ROE<15.0; 同比增速<10.0; CAGR<10.0; PEG≥1.0; 预期年化<10.0%; 未打0.7折
622,C_接近合格,31.54,002487,大金重工,57.97,5797,风电设备,1,14.2,31.2,17.9,132.8,34.8,0.98,1.11,42.9,0.0,32.72,0.94,3.06,37.9,-9.1,4.94,427.7,增速或为单年爆发(同比远高于CAGR),ROE<15.0; 盈利收益率≤5.0%; 未打0.7折
623,-,31.48,002906,华阳集团,24.96,2496,汽车零部件,1,11.7,18.4,6.0,20.0,27.1,0.96,1.35,51.1,0.0,16.55,0.83,6.04,26.0,17.2,1.90,131.0,,ROE<15.0; 毛利<30.0; 净利率<10.0; 未打0.7折
624,-,31.46,000708,中信特钢,12.62,1262,特钢Ⅱ,1,14.1,14.9,5.5,15.7,-5.9,0.99,2.48,58.8,0.0,10.52,,9.51,3.6,12.3,1.50,637.0,,ROE<15.0; 毛利<30.0; 净利率<10.0; CAGR<10.0; PEG≥1.0; 预期年化<10.0%; 未打0.7折
625,C_接近合格,31.45,920892,广咨国际,10.97,1097,工程咨询服务Ⅱ,1,25.4,38.4,18.3,9.9,11.1,0.98,1.47,51.7,0.0,17.25,1.74,5.80,15.7,-43.7,5.42,18.7,动态PE远高于TTM(盈利或下滑),同比增速<10.0; PEG≥1.0; 未打0.7折
626,-,31.45,002884,凌霄泵业,15.24,1524,通用设备,1,19.5,35.7,26.4,2.8,2.5,0.96,1.01,7.6,0.0,12.15,4.78,8.23,10.8,-1.3,2.53,54.5,,同比增速<10.0; CAGR<10.0; PEG≥1.0; 未打0.7折
627,-,31.44,600778,友好集团,4.89,488,一般零售,0,5.9,31.3,0.9,316.3,,-0.50,11.30,92.7,0.0,110.61,0.35,0.90,317.2,-268.7,6.03,15.2,扣非比-50%(含较多一次性收益),负债率≥70.0%; ROE<15.0; 净利率<10.0; CAGR<10.0; 盈利收益率≤5.0%; PE高于行业中位; 未打0.7折
628,-,31.42,300746,汉嘉数智,10.81,1081,工程咨询服务Ⅱ,0,9.2,35.5,5.5,116.7,63.5,-0.28,0.31,67.1,0.4,35.07,0.55,2.85,66.4,-16.9,2.96,24.4,扣非比-28%(含较多一次性收益); 动态PE远高于TTM(盈利或下滑),现金流/利润<0.8; ROE<15.0; 净利率<10.0; 盈利收益率≤5.0%; 未打0.7折
629,-,31.42,601598,中国外运,4.96,496,物流,0,9.9,5.7,4.2,2.7,-0.5,0.42,0.77,43.8,0.0,8.77,,11.40,10.9,26.9,0.88,355.8,扣非比42%(含较多一次性收益),现金流/利润<0.8; ROE<15.0; 毛利<30.0; 净利率<10.0; 同比增速<10.0; CAGR<10.0; PEG≥1.0; 未打0.7折
630,-,31.39,000786,北新建材,18.09,1809,装修建材,1,11.1,28.8,11.5,-20.3,-2.6,0.96,1.44,21.6,0.1,10.74,,9.31,-11.0,10.5,1.15,307.9,,ROE<15.0; 毛利<30.0; 同比增速<10.0; CAGR<10.0; PEG≥1.0; 预期年化<10.0%; 未打0.7折
631,-,31.38,002410,广联达,8.16,816,软件开发,1,6.8,85.9,6.6,61.8,-25.2,0.86,2.59,39.0,0.1,32.92,,3.04,-22.1,-174.3,2.36,134.8,动态PE远高于TTM(盈利或下滑),ROE<15.0; 净利率<10.0; CAGR<10.0; PEG≥1.0; 盈利收益率≤5.0%; 预期年化<10.0%; 未打0.7折
632,-,31.38,603508,思维列控,21.36,2136,计算机设备,1,12.4,66.5,36.6,1.4,17.1,0.99,1.21,9.2,0.3,13.80,9.72,7.25,8.7,-15.0,2.05,81.4,,ROE<15.0; 同比增速<10.0; PEG≥1.0; 预期年化<10.0%; 未打0.7折
633,-,31.37,300831,ST派瑞,19.37,1937,半导体,0,4.7,56.0,23.6,-38.0,-7.0,0.73,1.74,9.2,0.0,104.80,,0.95,-37.0,-773.3,6.37,62.0,,ST/退市; ROE<15.0; 同比增速<10.0; CAGR<10.0; PEG≥1.0; 盈利收益率≤5.0%; 预期年化<10.0%; 未打0.7折
634,-,31.37,605001,威奥股份,5.45,545,轨交设备Ⅱ,0,3.1,29.8,4.8,55.2,,0.91,-0.33,46.5,0.2,26.23,0.48,3.81,59.0,12.6,0.79,21.4,,现金流/利润<0.8; ROE<15.0; 毛利<30.0; 净利率<10.0; CAGR<10.0; 盈利收益率≤5.0%; 未打0.7折
635,-,31.32,002027,分众传媒,4.84,484,广告营销,1,18.3,70.5,23.1,-42.9,1.8,0.92,2.45,27.7,0.0,19.41,,5.15,-37.7,-61.8,4.53,699.0,,同比增速<10.0; CAGR<10.0; PEG≥1.0; 预期年化<10.0%; 未打0.7折
636,-,31.28,920227,美登科技,48.49,4849,IT服务Ⅱ,1,10.5,66.8,27.9,3.7,1.1,0.92,1.14,6.3,0.2,43.05,38.43,2.32,3.4,-258.8,4.85,18.9,增速或为单年爆发(同比远高于CAGR),ROE<15.0; 同比增速<10.0; CAGR<10.0; PEG≥1.0; 盈利收益率≤5.0%; 预期年化<10.0%; 未打0.7折
637,-,31.24,300150,世纪瑞尔,3.97,397,IT服务Ⅱ,1,3.3,35.0,5.9,50.7,,0.89,1.40,24.2,0.1,61.02,1.20,1.64,52.4,-103.4,1.48,23.2,,ROE<15.0; 净利率<10.0; CAGR<10.0; PEG≥1.0; 盈利收益率≤5.0%; 未打0.7折
638,-,31.24,603186,华正新材,225.30,22530,元件,0,17.4,13.1,6.3,384.0,97.2,0.24,1.28,72.4,0.0,122.13,1.26,0.82,98.0,-307.1,15.22,353.2,扣非比24%(含较多一次性收益); 增速或为单年爆发(同比远高于CAGR); 动态PE远高于TTM(盈利或下滑),负债率≥70.0%; 毛利<30.0; 净利率<10.0; PEG≥1.0; 盈利收益率≤5.0%; PE高于行业中位; 未打0.7折
639,-,31.23,002842,翔鹭钨业,48.20,4820,小金属,0,13.7,14.4,6.0,260.6,,0.93,0.73,57.0,0.0,40.86,0.16,2.45,263.0,-36.2,11.15,157.7,,现金流/利润<0.8; ROE<15.0; 毛利<30.0; 净利率<10.0; CAGR<10.0; 盈利收益率≤5.0%; 未打0.7折
640,-,31.23,000932,华菱钢铁,3.47,347,普钢,1,4.8,9.7,2.1,28.5,-25.8,0.88,2.51,53.5,0.0,10.59,,9.44,-16.3,11.7,0.43,237.8,动态PE远高于TTM(盈利或下滑),ROE<15.0; 毛利<30.0; 净利率<10.0; CAGR<10.0; PEG≥1.0; 预期年化<10.0%; 未打0.7折
641,B_优质待跌,31.22,002215,诺 普 信,8.23,823,农化制品,3,16.4,37.4,11.2,11.3,25.6,0.90,2.22,63.3,0.0,10.65,0.95,9.39,20.6,11.3,1.81,82.7,,未打0.7折
642,-,31.21,688657,浩辰软件,35.77,3577,软件开发,1,3.6,92.6,15.3,-19.4,-6.5,0.83,1.79,8.0,0.0,70.82,,1.41,-17.9,-490.2,2.47,34.1,动态PE远高于TTM(盈利或下滑),ROE<15.0; 同比增速<10.0; CAGR<10.0; PEG≥1.0; 盈利收益率≤5.0%; 预期年化<10.0%; 未打0.7折
643,-,31.21,601108,财通证券,8.65,865,证券Ⅱ,0,7.1,,38.0,12.5,20.2,0.98,2.02,76.6,0.0,13.57,1.09,7.37,19.9,-8.6,1.06,401.7,,负债率≥70.0%; ROE<15.0; 毛利<30.0; PEG≥1.0; 未打0.7折
644,-,31.13,603368,柳药集团,14.67,1467,医药商业,1,9.1,11.0,3.4,-17.0,0.4,0.98,1.52,61.8,0.1,8.87,,11.27,-5.7,26.1,0.75,58.3,,ROE<15.0; 毛利<30.0; 净利率<10.0; 同比增速<10.0; CAGR<10.0; PEG≥1.0; 预期年化<10.0%; 未打0.7折
645,-,31.12,603566,普莱柯,9.79,978,动物保健Ⅱ,1,7.1,59.9,17.0,99.3,3.3,0.67,1.91,15.4,0.0,19.60,5.94,5.10,8.4,-63.3,1.35,33.9,扣非比67%(含较多一次性收益); 增速或为单年爆发(同比远高于CAGR),ROE<15.0; CAGR<10.0; PEG≥1.0; 预期年化<10.0%; 未打0.7折
646,C_接近合格,31.0,301361,众智科技,30.03,3003,电网设备,1,8.1,57.9,33.3,21.0,17.2,0.90,0.98,7.2,0.0,35.59,2.07,2.81,20.0,-107.1,2.83,34.9,,ROE<15.0; PEG≥1.0; 盈利收益率≤5.0%; 未打0.7折
647,-,31.0,002047,宝鹰股份,4.60,459,装修装饰Ⅱ,0,251.6,22.6,9.0,108.0,,-0.50,-0.38,96.5,0.1,105.33,0.98,0.95,108.9,-251.1,171.35,69.7,扣非比-50%(含较多一次性收益),现金流/利润<0.8; 负债率≥70.0%; 毛利<30.0; 净利率<10.0; CAGR<10.0; 盈利收益率≤5.0%; PE高于行业中位; 未打0.7折
648,-,30.96,688314,康拓医疗,33.88,3388,医疗器械,1,14.7,78.7,28.1,11.7,9.3,0.93,1.20,20.4,0.1,31.34,3.39,3.19,12.4,-161.2,3.88,27.5,,ROE<15.0; CAGR<10.0; PEG≥1.0; 盈利收益率≤5.0%; 未打0.7折
649,-,30.94,000589,贵州轮胎,4.06,405,汽车零部件,1,6.7,18.3,5.7,0.7,13.1,0.95,1.29,50.9,0.0,8.60,11.62,11.63,12.4,28.3,0.70,63.1,,ROE<15.0; 毛利<30.0; 净利率<10.0; 同比增速<10.0; PEG≥1.0; 未打0.7折
650,-,30.94,601995,中金公司,36.15,3615,证券Ⅱ,0,9.4,,34.4,71.9,8.8,0.98,7.83,84.1,0.0,15.41,1.75,6.49,15.3,-28.4,1.70,1745.1,增速或为单年爆发(同比远高于CAGR),负债率≥70.0%; ROE<15.0; 毛利<30.0; CAGR<10.0; PEG≥1.0; 未打0.7折
651,-,30.92,002508,老板电器,14.62,1462,厨卫电器,1,10.6,50.2,12.4,-20.4,-7.2,0.92,1.27,32.8,0.0,11.30,,8.85,-11.5,5.8,1.22,138.2,,ROE<15.0; 同比增速<10.0; CAGR<10.0; PEG≥1.0; 预期年化<10.0%; 未打0.7折
652,-,30.91,600639,浦东金桥,9.12,911,房地产开发,0,7.3,32.1,18.0,7.1,-12.2,0.87,-1.74,59.1,0.0,9.82,,10.18,-2.0,18.2,0.68,102.4,动态PE远高于TTM(盈利或下滑),现金流/利润<0.8; ROE<15.0; 同比增速<10.0; CAGR<10.0; PEG≥1.0; 预期年化<10.0%; 未打0.7折
653,-,30.88,300970,华绿生物,18.28,1828,种植业,1,7.1,16.1,8.5,331.8,12.1,1.02,3.03,32.3,0.0,13.27,1.10,7.54,19.6,-9.6,1.72,29.0,增速或为单年爆发(同比远高于CAGR),ROE<15.0; 毛利<30.0; 净利率<10.0; PEG≥1.0; 未打0.7折
654,C_接近合格,30.88,603817,海峡环保,5.11,511,环境治理,1,6.9,42.8,15.4,10.6,12.8,1.00,1.63,52.6,0.0,12.43,1.17,8.05,18.7,-3.6,0.89,29.1,,ROE<15.0; PEG≥1.0; 未打0.7折
655,-,30.87,301606,绿联科技,61.02,6102,消费电子,0,22.6,37.0,7.4,52.4,29.1,0.96,-0.05,30.9,0.0,31.97,1.10,3.13,32.2,-9.8,7.51,253.2,,现金流/利润<0.8; 净利率<10.0; PEG≥1.0; 盈利收益率≤5.0%; 未打0.7折
656,-,30.87,600694,大商股份,13.23,1323,一般零售,1,5.6,40.6,7.9,-16.3,-3.7,0.87,0.94,46.5,0.0,10.02,,9.98,-6.3,16.5,0.57,50.1,,ROE<15.0; 净利率<10.0; 同比增速<10.0; CAGR<10.0; PEG≥1.0; 预期年化<10.0%; 未打0.7折
657,-,30.84,600461,洪城环境,9.06,906,环境治理,1,12.4,34.1,15.9,0.3,7.5,0.99,1.60,55.4,0.0,9.88,36.59,10.12,10.4,17.7,1.21,116.3,,ROE<15.0; 同比增速<10.0; CAGR<10.0; PEG≥1.0; 未打0.7折
658,-,30.83,601236,红塔证券,6.82,682,证券Ⅱ,0,4.9,,49.9,58.8,215.8,0.96,-0.85,58.9,0.0,28.74,0.49,3.48,62.3,4.2,1.29,320.1,,现金流/利润<0.8; ROE<15.0; 毛利<30.0; 盈利收益率≤5.0%; PE高于行业中位; 未打0.7折
659,-,30.82,002078,太阳纸业,12.49,1249,造纸,1,10.9,15.6,8.3,4.8,5.0,0.98,1.53,47.8,0.0,10.67,2.21,9.37,14.2,11.1,1.14,349.0,,ROE<15.0; 毛利<30.0; 净利率<10.0; 同比增速<10.0; CAGR<10.0; PEG≥1.0; 未打0.7折
660,-,30.82,603587,地素时尚,11.11,1111,服装家纺,1,7.2,74.9,12.2,-14.2,-12.2,0.89,1.83,15.6,0.0,18.86,,5.30,-8.9,-57.2,1.41,52.5,,ROE<15.0; 同比增速<10.0; CAGR<10.0; PEG≥1.0; 预期年化<10.0%; 未打0.7折
661,-,30.79,920599,同力股份,16.47,1647,工程机械,0,25.0,23.0,13.1,5.8,21.6,0.99,0.46,53.5,0.0,9.06,1.55,11.04,16.9,24.5,2.18,76.2,,现金流/利润<0.8; 毛利<30.0; 同比增速<10.0; PEG≥1.0; 未打0.7折
662,-,30.79,600812,华北制药,4.27,426,化学制药,1,3.4,31.0,2.0,44.1,,0.91,6.41,67.8,0.0,45.49,1.03,2.20,46.3,-51.6,1.33,73.3,,ROE<15.0; 净利率<10.0; CAGR<10.0; PEG≥1.0; 盈利收益率≤5.0%; PE高于行业中位; 未打0.7折
663,-,30.78,601766,中国中车,5.20,520,轨交设备Ⅱ,1,7.7,21.4,4.8,6.4,4.2,0.83,1.83,60.8,0.0,11.05,2.64,9.05,13.2,7.9,0.85,1492.3,,ROE<15.0; 毛利<30.0; 净利率<10.0; 同比增速<10.0; CAGR<10.0; PEG≥1.0; 未打0.7折
664,-,30.75,601600,中国铝业,8.22,822,工业金属,1,17.6,18.0,5.3,2.2,44.6,0.98,2.69,46.0,0.0,9.62,4.28,10.40,12.6,19.8,1.75,1410.1,,毛利<30.0; 净利率<10.0; 同比增速<10.0; PEG≥1.0; 未打0.7折
665,-,30.75,601162,天风证券,3.37,337,证券Ⅱ,1,0.6,,5.5,624.5,,1.00,16.43,69.8,0.0,257.39,0.41,0.39,624.9,-758.0,1.24,339.5,动态PE远高于TTM(盈利或下滑),ROE<15.0; 毛利<30.0; 净利率<10.0; CAGR<10.0; 盈利收益率≤5.0%; PE高于行业中位; 未打0.7折
666,-,30.74,601677,明泰铝业,16.60,1660,工业金属,0,10.8,7.1,5.6,12.1,7.0,0.86,0.75,28.4,0.0,9.29,1.32,10.76,17.8,22.6,1.06,206.4,,现金流/利润<0.8; ROE<15.0; 毛利<30.0; 净利率<10.0; CAGR<10.0; PEG≥1.0; 未打0.7折
667,-,30.72,002327,富安娜,5.94,594,服装家纺,1,8.3,53.2,13.0,-38.0,-14.3,0.87,1.67,21.2,0.0,14.36,,6.96,-31.0,-19.7,1.44,49.5,,ROE<15.0; 同比增速<10.0; CAGR<10.0; PEG≥1.0; 预期年化<10.0%; 未打0.7折
668,-,30.64,688313,仕佳光子,184.65,18465,通信设备,0,27.1,33.2,17.5,473.2,79.6,1.00,0.20,36.2,0.0,211.18,2.65,0.47,80.0,-603.9,54.80,834.6,增速或为单年爆发(同比远高于CAGR),现金流/利润<0.8; PEG≥1.0; 盈利收益率≤5.0%; PE高于行业中位; 未打0.7折
669,-,30.58,300406,九强生物,10.93,1093,医疗器械,1,4.7,79.3,14.0,-64.7,-21.3,1.00,3.01,25.1,0.4,30.20,,3.31,-61.4,-151.7,1.92,64.1,,ROE<15.0; 同比增速<10.0; CAGR<10.0; PEG≥1.0; 盈利收益率≤5.0%; 预期年化<10.0%; 未打0.7折
670,-,30.52,300169,天晟新材,4.99,499,化学制品,0,22.0,21.8,2.9,122.3,,-10.60,-1.52,91.6,0.0,52.23,0.43,1.91,124.2,-74.1,15.81,16.9,扣非比-1060%(含较多一次性收益),现金流/利润<0.8; 负债率≥70.0%; 毛利<30.0; 净利率<10.0; CAGR<10.0; 盈利收益率≤5.0%; PE高于行业中位; 未打0.7折
671,C_接近合格,30.5,688016,心脉医疗,88.64,8864,医疗器械,1,14.3,71.1,41.7,12.2,16.4,0.89,1.00,11.7,0.1,18.56,1.52,5.39,17.6,-52.3,2.67,109.3,,ROE<15.0; PEG≥1.0; 未打0.7折
672,-,30.42,300386,飞天诚信,11.09,1109,计算机设备,1,0.4,39.6,0.8,107.6,,-1.00,12.38,8.2,0.0,-112.37,,,,0.0,3.23,46.4,扣非比-100%(含较多一次性收益),ROE<15.0; 净利率<10.0; CAGR<10.0; PEG≥1.0; 盈利收益率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.7折
673,-,30.39,300953,震裕科技,133.70,13369,电池,0,12.9,15.0,5.3,102.0,70.4,0.97,0.70,65.9,0.0,45.11,0.64,2.22,72.6,-50.4,6.91,325.6,,现金流/利润<0.8; ROE<15.0; 毛利<30.0; 净利率<10.0; 盈利收益率≤5.0%; 未打0.7折
674,B_优质待跌,30.38,000603,盛达资源,23.10,2310,贵金属,2,16.3,57.6,21.6,36.5,13.5,1.03,1.63,44.5,0.0,26.41,1.96,3.79,17.2,-96.3,4.56,159.4,增速或为单年爆发(同比远高于CAGR),PEG≥1.0; 盈利收益率≤5.0%; PE高于行业中位; 未打0.7折
675,B_优质待跌,30.37,300274,阳光电源,159.02,15902,光伏设备,2,31.3,31.8,15.1,22.0,55.3,0.95,1.25,58.1,0.0,27.64,1.26,3.62,25.6,-25.8,6.98,3296.8,,PEG≥1.0; 盈利收益率≤5.0%; 未打0.7折
676,C_接近合格,30.34,603005,晶方科技,53.87,5387,半导体,1,8.3,47.1,25.1,46.2,17.4,0.88,1.30,10.2,0.1,95.03,5.46,1.05,18.4,-446.2,7.54,351.3,增速或为单年爆发(同比远高于CAGR),ROE<15.0; PEG≥1.0; 盈利收益率≤5.0%; 未打0.7折
677,-,30.34,601727,上海电气,7.00,700,其他电源设备Ⅱ,0,2.2,17.5,1.0,60.3,,0.17,8.68,75.4,0.0,84.04,1.39,1.19,61.5,-180.1,1.98,1087.8,扣非比17%(含较多一次性收益),负债率≥70.0%; ROE<15.0; 毛利<30.0; 净利率<10.0; CAGR<10.0; PEG≥1.0; 盈利收益率≤5.0%; 未打0.7折
678,-,30.32,000028,国药一致,18.91,1891,医药商业,1,6.3,10.7,1.5,76.8,-8.6,0.97,1.44,56.0,0.1,10.57,,9.46,0.9,11.9,0.62,115.8,,ROE<15.0; 毛利<30.0; 净利率<10.0; CAGR<10.0; PEG≥1.0; 预期年化<10.0%; 未打0.7折
679,-,30.3,001965,招商公路,9.16,916,铁路公路,1,6.7,29.8,34.5,-13.4,-1.8,0.98,1.46,43.6,0.0,13.44,,7.44,-5.9,-12.0,0.89,622.4,,ROE<15.0; 毛利<30.0; 同比增速<10.0; CAGR<10.0; PEG≥1.0; 预期年化<10.0%; 未打0.7折
680,-,30.29,300388,节能国祯,6.17,617,环境治理,0,7.8,29.6,9.7,-2.9,-4.2,0.97,2.07,71.2,0.0,11.11,,9.00,4.8,7.4,0.88,42.0,,负债率≥70.0%; ROE<15.0; 毛利<30.0; 净利率<10.0; 同比增速<10.0; CAGR<10.0; PEG≥1.0; 预期年化<10.0%; 未打0.7折
681,-,30.26,002716,湖南白银,8.09,809,贵金属,1,9.9,6.6,2.7,100.4,,1.00,1.93,48.0,0.0,48.83,0.49,2.05,102.4,-62.8,5.63,228.4,,ROE<15.0; 毛利<30.0; 净利率<10.0; CAGR<10.0; 盈利收益率≤5.0%; PE高于行业中位; 未打0.7折
682,-,30.25,603198,迎驾贡酒,29.60,2960,白酒Ⅱ,0,19.4,72.5,33.0,-23.3,5.2,0.96,0.62,22.8,0.0,11.89,,8.41,-14.9,0.9,2.31,236.8,,现金流/利润<0.8; 同比增速<10.0; CAGR<10.0; PEG≥1.0; 预期年化<10.0%; 未打0.7折
683,-,30.24,600114,东睦股份,37.76,3776,通用设备,1,17.6,25.2,8.9,35.0,51.0,0.98,1.85,47.7,0.1,43.35,1.24,2.31,37.3,-44.5,7.06,238.4,,毛利<30.0; 净利率<10.0; PEG≥1.0; 盈利收益率≤5.0%; 未打0.7折
684,-,30.22,688389,普门科技,9.79,978,医疗器械,1,8.9,63.2,17.8,-46.7,-9.9,0.88,1.52,24.9,0.0,25.73,,3.89,-42.8,-114.4,2.07,41.9,,ROE<15.0; 同比增速<10.0; CAGR<10.0; PEG≥1.0; 盈利收益率≤5.0%; 预期年化<10.0%; 未打0.7折
685,-,30.22,300263,隆华科技,16.30,1630,通用设备,1,5.3,21.9,6.2,45.0,43.5,0.90,2.13,42.7,0.1,80.51,1.85,1.24,44.8,-168.4,4.08,168.7,,ROE<15.0; 毛利<30.0; 净利率<10.0; PEG≥1.0; 盈利收益率≤5.0%; PE高于行业中位; 未打0.7折
686,-,30.21,000408,藏格矿业,69.32,6931,农化制品,0,24.7,59.2,107.7,49.3,-12.0,1.05,0.54,8.3,0.0,23.24,,4.30,-7.7,-93.7,7.11,1087.6,,现金流/利润<0.8; CAGR<10.0; PEG≥1.0; 盈利收益率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.7折
687,-,30.19,300816,艾可蓝,73.20,7320,汽车零部件,1,10.8,25.4,8.8,90.5,,0.77,1.71,59.4,0.0,60.77,0.67,1.65,92.2,-102.6,6.17,58.6,,ROE<15.0; 毛利<30.0; 净利率<10.0; CAGR<10.0; 盈利收益率≤5.0%; PE高于行业中位; 未打0.7折
688,-,30.19,601788,光大证券,14.43,1443,证券Ⅱ,0,5.6,,34.3,21.8,5.3,0.95,4.13,77.1,0.0,16.34,3.08,6.12,11.4,-36.2,1.07,665.3,增速或为单年爆发(同比远高于CAGR),负债率≥70.0%; ROE<15.0; 毛利<30.0; CAGR<10.0; PEG≥1.0; 未打0.7折
689,-,30.18,301289,国缆检测,47.01,4701,专业服务,1,8.8,59.6,25.8,14.6,5.4,1.03,2.01,20.8,0.0,40.62,7.49,2.46,7.9,-238.5,3.66,36.7,增速或为单年爆发(同比远高于CAGR),ROE<15.0; CAGR<10.0; PEG≥1.0; 盈利收益率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.7折
690,-,30.17,002201,九鼎新材,10.93,1093,玻璃玻纤,1,8.0,26.6,5.0,206.5,35.4,0.86,2.42,65.2,0.0,79.33,2.24,1.26,36.7,-164.4,6.06,71.2,增速或为单年爆发(同比远高于CAGR),ROE<15.0; 毛利<30.0; 净利率<10.0; PEG≥1.0; 盈利收益率≤5.0%; 未打0.7折
691,-,30.16,300525,博思软件,7.44,744,软件开发,1,6.6,63.7,8.7,-42.5,-11.9,0.85,1.72,31.3,0.1,31.99,,3.13,-39.4,-166.6,2.28,55.9,,ROE<15.0; 净利率<10.0; 同比增速<10.0; CAGR<10.0; PEG≥1.0; 盈利收益率≤5.0%; 预期年化<10.0%; 未打0.7折
692,-,30.15,688522,纳睿雷达,20.02,2002,军工电子Ⅱ,1,4.8,64.2,23.8,42.9,1.1,0.92,1.32,17.2,0.0,74.32,67.76,1.35,2.4,-519.3,3.66,84.9,增速或为单年爆发(同比远高于CAGR),ROE<15.0; CAGR<10.0; PEG≥1.0; 盈利收益率≤5.0%; 预期年化<10.0%; 未打0.7折
693,-,30.14,600035,楚天高速,3.37,337,铁路公路,1,6.2,18.5,8.2,-29.7,-9.3,0.97,2.73,55.4,0.0,10.80,,9.26,-20.4,10.0,0.61,54.3,,ROE<15.0; 毛利<30.0; 净利率<10.0; 同比增速<10.0; CAGR<10.0; PEG≥1.0; 预期年化<10.0%; 未打0.7折
694,-,30.1,300611,美力科技,22.67,2267,汽车零部件,1,12.3,24.0,7.3,36.8,,0.94,2.07,49.1,0.0,37.03,1.01,2.70,39.5,-23.4,3.81,47.9,,ROE<15.0; 毛利<30.0; 净利率<10.0; CAGR<10.0; PEG≥1.0; 盈利收益率≤5.0%; PE高于行业中位; 未打0.7折
695,-,30.09,601975,招商南油,3.73,373,航运港口,1,11.6,28.9,22.5,-31.7,-2.9,0.99,1.62,11.5,0.0,11.97,,8.35,-23.4,0.2,1.47,174.6,,ROE<15.0; 毛利<30.0; 同比增速<10.0; CAGR<10.0; PEG≥1.0; 预期年化<10.0%; 未打0.7折
696,C_接近合格,30.04,600900,长江电力,26.47,2647,电力,1,15.9,61.7,40.0,6.2,13.3,0.97,1.76,58.3,0.0,17.95,2.91,5.57,11.7,-49.6,2.84,6476.7,,同比增速<10.0; PEG≥1.0; 未打0.7折
697,-,30.03,920779,武汉蓝电,22.76,2276,电池,1,12.6,58.8,37.4,-14.7,-3.8,0.91,1.02,16.0,0.0,30.28,,3.30,-11.4,-152.3,4.10,18.2,,ROE<15.0; 同比增速<10.0; CAGR<10.0; PEG≥1.0; 盈利收益率≤5.0%; 预期年化<10.0%; 未打0.7折
698,B_优质待跌,30.03,301683,慧谷新材,139.83,13983,化学制品,2,18.8,44.9,21.0,41.8,90.1,0.99,0.89,19.6,0.0,41.77,1.00,2.39,44.2,-39.2,2.57,88.3,,盈利收益率≤5.0%; PE高于行业中位; 未打0.7折
699,-,29.93,300001,特锐德,37.83,3783,电网设备,1,15.7,27.4,7.9,35.6,65.9,0.83,1.84,63.0,0.0,31.94,0.90,3.13,38.8,-6.5,4.73,399.3,动态PE远高于TTM(盈利或下滑),毛利<30.0; 净利率<10.0; 盈利收益率≤5.0%; 未打0.7折
700,-,29.93,002297,博云新材,28.99,2899,航空装备Ⅱ,1,3.0,28.3,6.8,192.0,37.2,0.63,1.63,30.3,0.0,86.01,2.31,1.16,38.4,-186.7,7.35,166.1,扣非比63%(含较多一次性收益); 增速或为单年爆发(同比远高于CAGR),ROE<15.0; 毛利<30.0; 净利率<10.0; PEG≥1.0; 盈利收益率≤5.0%; PE高于行业中位; 未打0.7折
701,-,29.9,603031,安孚科技,53.25,5325,电池,1,10.2,49.4,4.7,34.4,40.4,0.95,4.09,53.3,0.9,69.01,2.01,1.45,35.8,-130.0,7.07,199.1,,ROE<15.0; 净利率<10.0; PEG≥1.0; 盈利收益率≤5.0%; PE高于行业中位; 未打0.7折
702,-,29.89,300003,乐普医疗,11.85,1185,医疗器械,1,6.1,64.0,14.8,289.6,-24.1,0.88,1.58,32.1,0.2,26.31,,3.80,-20.3,-119.3,1.35,218.4,,ROE<15.0; CAGR<10.0; PEG≥1.0; 盈利收益率≤5.0%; 预期年化<10.0%; 未打0.7折
