rank,status,basic_status,enhanced_status,final_action,code,name,stock_code,stock_name,price,premium_rt,double_low,rating,remaining_scale,remaining_years,change_pct,maturity_date,convert_price,convert_value,stock_price,pb,turnover,risk_reasons,enhanced_reasons,maturity_redeem_price,maturity_yield_est,call_gap_pct,put_gap_pct,down_revision_gap_pct,has_conditional_resale,source
692,剔除,剔除,增强排除,排除,123058,欣旺转债,300207,欣旺达,,,,AA,11.2,-4.986,,2021-07-06 00:00:00,,,18.75,1.42,,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；剩余期限<0.5年,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；剩余期限<0.5年,111.0,,,,,True,eastmoney_datacenter+quote_board
693,剔除,剔除,增强排除,排除,123060,苏试转债,300416,苏试试验,,,,AA-,3.1,-3.463,,2023-01-13 00:00:00,,,21.88,4.07,,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；剩余期限<0.5年,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；剩余期限<0.5年,112.0,,,,,True,eastmoney_datacenter+quote_board
694,剔除,剔除,增强排除,排除,123062,三超转债,300554,三超新材,,,,A,1.95,-3.792,,2022-09-15 00:00:00,,,27.79,6.41,,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；评级低于AA-；剩余规模<2亿；剩余期限<0.5年,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；评级低于AA-；剩余规模<2亿；剩余期限<0.5年,113.0,,,,,True,eastmoney_datacenter+quote_board
695,剔除,剔除,增强排除,排除,123063,大禹转债,300021,大禹节水,,,,AA-,6.38,-0.86,,2025-08-21 00:00:00,,,3.99,1.57,,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；剩余期限<0.5年,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；剩余期限<0.5年,120.0,,,,,True,eastmoney_datacenter+quote_board
696,剔除,剔除,增强排除,排除,123066,赛意转债,300687,赛意信息,,,,A+,3.2,-4.873,,2021-08-16 00:00:00,,,30.03,4.58,,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；评级低于AA-；剩余期限<0.5年,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；评级低于AA-；剩余期限<0.5年,115.0,,,,,True,eastmoney_datacenter+quote_board
697,剔除,剔除,增强排除,排除,123067,斯莱转债,300382,斯莱克,,,,AA-,3.88,-1.279,,2025-03-21 00:00:00,,,23.08,6.57,,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；剩余期限<0.5年,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；剩余期限<0.5年,115.0,,,,,True,eastmoney_datacenter+quote_board
698,剔除,剔除,增强排除,排除,123068,弘信转债,300657,弘信电子,,,,AA-,5.7,-4.717,,2021-10-12 00:00:00,,,43.97,14.92,,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；剩余期限<0.5年,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；剩余期限<0.5年,115.0,,,,,True,eastmoney_datacenter+quote_board
699,剔除,剔除,增强排除,排除,123069,金诺转债,300505,川金诺,,,,AA-,3.68,-4.643,,2021-11-08 00:00:00,,,24.58,2.38,,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；剩余期限<0.5年,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；剩余期限<0.5年,120.0,,,,,True,eastmoney_datacenter+quote_board
700,剔除,剔除,增强排除,排除,123070,鹏辉转债,300438,鹏辉能源,,,,AA,8.9,-3.923,,2022-07-29 00:00:00,,,79.63,7.07,,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；剩余期限<0.5年,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；剩余期限<0.5年,110.0,,,,,True,eastmoney_datacenter+quote_board
701,剔除,剔除,增强排除,排除,123073,同和转债,300636,同和药业,,,,A+,3.6,-3.874,,2022-08-16 00:00:00,,,6.69,1.19,,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；评级低于AA-；剩余期限<0.5年,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；评级低于AA-；剩余期限<0.5年,116.0,,,,,True,eastmoney_datacenter+quote_board
702,剔除,剔除,增强排除,排除,123074,隆利转债,300752,隆利科技,,,,AA-,3.245,-4.539,,2021-12-16 00:00:00,,,14.8,3.79,,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；剩余期限<0.5年,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；剩余期限<0.5年,118.0,,,,,True,eastmoney_datacenter+quote_board
703,剔除,剔除,增强排除,排除,123075,贝斯转债,300580,贝斯特,,,,AA-,6.0,-2.927,,2023-07-28 00:00:00,,,20.67,3.16,,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；剩余期限<0.5年,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；剩余期限<0.5年,110.0,,,,,True,eastmoney_datacenter+quote_board
704,剔除,剔除,增强排除,排除,123077,汉得转债,300170,汉得信息,,,,AA,9.3715,-3.176,,2023-04-28 00:00:00,,,15.68,2.84,,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；剩余期限<0.5年,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；剩余期限<0.5年,120.0,,,,,True,eastmoney_datacenter+quote_board
